Hasar Kaydı,KM,Garanti,Vites,Çekiş,Fiyatı,Motor Tipi,Üretim Yılı ,Motor Gücü,Şanzıman,Hızlanma 0-100 km/saat,Azami Sürat,Motor Hacmi,Yakıt Tipi,Ortalama 
0,187,Hayır,Yarı Otomatik,Önden Çekiş,348.000 TL,Dizel / 5 silindir,2011 / 2012,163 hp,Otomatik / 6 Vites / Önden Çekiş,"9,2 sn",215 km/saat,1984 cc,Dizel,"5,9 lt"
1,54.5,Evet,Otomatik,Önden Çekiş,650.000 TL,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
0,223,Hayır,Manuel,Önden Çekiş,367.000 TL,Dizel / 4 silindir,2011 / 2014,115 hp,Manuel 6 Vites / Önden Çekiş,"10,9 sn",195 km/saat,1560 cc,Dizel,"4,3 lt"
1,179,Hayır,Manuel,Önden Çekiş,355.000 TL,Dizel / 4 silindir,2011 / 2014,115 hp,Manuel 6 Vites / Önden Çekiş,"10,9 sn",195 km/saat,1560 cc,Dizel,"4,3 lt"
1,72.5,Hayır,Yarı Otomatik,Önden Çekiş,567.500 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,70,Hayır,Yarı Otomatik,Önden Çekiş,670.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,185,Hayır,Yarı Otomatik,Önden Çekiş,378.000 TL,Dizel / 4 silindir,2012 / 2014,115 hp,Powershift / 6 Vites / Önden Çekiş,"10,9 sn",190 km/saat,1560 cc,Dizel,"4,3 lt"
1,219,Hayır,Yarı Otomatik,Önden Çekiş,365.000 TL,Dizel / 5 silindir,2011 / 2012,163 hp,Otomatik / 6 Vites / Önden Çekiş,"9,2 sn",215 km/saat,1984 cc,Dizel,"5,9 lt"
1,222,Hayır,Yarı Otomatik,Önden Çekiş,290.000 TL,Benzinli / 4 silindir,2011 / 2011,203 hp,Powershift / 6 Vites / Önden Çekiş,"8,2 sn",230 km/saat,1999 cc,Benzinli,"8,2 lt"
1,175,Evet,Yarı Otomatik,Önden Çekiş,435.750 TL,Dizel / 5 silindir,2012 / 2013,163 hp,Geartronic / 6 Vites / Önden Çekiş,"9,2 sn",215 km/saat,1984 cc,Dizel,"5,4 lt"
